samsung,총당기순이익(조),영업이익(조),주가 평균(고가와 저가의 평균)KRW,aapl,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,amazon,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,ms,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,tsm,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,sk hynix,총당기순이익(백만USD),영업이익(조),주가 평균(고가와 저가의 평균)KRW,,,,,,,,,,,,
2010_1,3.99,4.41,16300,2010_1,0,0,7.245,2010_1,0,0,6.37,2010_1,0,0,29.45,2010_1,0,0,10.79,2010_1,0,0,24450,,,,,,,,,,,,
2010_2,4.28,5.01,16900,2010_2,0,0,9.02,2010_2,0,0,7.045,2010_2,0,0,30.1,2010_2,0,0,10.825,2010_2,0,0,27950,,,,,,,,,,,,
2010_3,4.46,4.86,15950,2010_3,0,0,9.03,2010_3,0,0,5.765,2010_3,0,0,24.57,2010_3,0,0,10.1,2010_3,0,0,24200,,,,,,,,,,,,
2010_4,3.01,3.42,15290,2010_4,0,0,10.655,2010_4,0,0,8.085,2010_4,0,0,25.49,2010_4,0,0,10.53,2010_4,0,0,23150,,,,,,,,,,,,
2011_1,2.78,2.95,19220,2011_1,0,0,12.025,2011_1,0,0,8.965,2011_1,0,0,28.44,2011_1,0,0,13.045,2011_1,"273,540","322,829",27500,,,,,,,,,,,,
2011_2,3.51,3.75,18010,2011_2,0,0,12.055,2011_2,0,0,9.33,2011_2,0,0,25.795,2011_2,0,0,12.675,2011_2,"472,997","446,889",33975,,,,,,,,,,,,
2011_3,3.44,4.25,17050,2011_3,0,0,13.195,2011_3,0,0,10.77,2011_3,0,0,26.995,2011_3,0,0,12.525,2011_3,"-562,620","-276,759",25525,,,,,,,,,,,,
2011_4,4.03,4.69,17660,2011_4,0,0,13.945,2011_4,0,0,11.085,2011_4,0,0,25.88,2011_4,0,0,12.16,2011_4,"-239,888","-123,864",22150,,,,,,,,,,,,
2012_1,5.05,5.69,21410,2012_1,0,0,15.49,2012_1,0,0,9.25,2012_1,0,0,28.17,2012_1,0,0,13.735,2012_1,"-271,223","-259,981",25300,,,,,,,,,,,,
2012_2,5.19,6.89,26500,2012_2,0,0,21.41,2012_2,0,0,10.435,2012_2,0,0,31.56,2012_2,0,0,15.375,2012_2,"-53,307","22,805",28625,,,,,,,,,,,,
2012_3,6.56,8.12,24250,2012_3,0,0,21.25,2012_3,0,0,11.335,2012_3,0,0,29.795,2012_3,0,0,13.29,2012_3,"2,041","-15,074",22375,,,,,,,,,,,,
2012_4,7.04,8.35,26660,2012_4,0,0,22.58,2012_4,0,0,12.125,2012_4,0,0,29.005,2012_4,0,0,15.655,2012_4,"163,694","24,901",23550,,,,,,,,,,,,
